Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8/31/2017,97,0.53,0.55,0.54,1.74,0.68,0.39,2.99,12.46,9.45,11.7,14.01,11.03,15.56,17.03,12.07,11.66,17.59,9.99,15.17,24.24,13.67,11.24,10.28,9.21
9/1/2017,117,9.6689,7.3903,1.3803,0.5894,0.7198,0.4608,1.8103,3.5498,1.2399,1.4189,6.3512,6.8499,18.3989,22.8112,10.0299,1.57,5.1393,0.8408,8.8099,15.96,6.6794,9.9108,12.8198,2.8494
9/2/2017,117,2.2003,1.3794,2.2003,0.5903,0.7298,1.2299,1.4303,2.8594,2.791,3.7597,5.8093,1.6205,4.3497,13.2605,0.8896,5.8303,13.1003,3.3492,4.7404,5.3098,3.2494,0.6003,2.3498,2.8299
9/3/2017,117,3.0003,0.9903,0.5994,1.7803,4.6998,5.2908,10.0794,17.5598,6.2494,6.6203,8.7703,5.8294,11.4003,14.1298,5.1899,0.6203,3.9598,8.0399,10.6003,11.1398,11.2608,12.9994,13.5498,5.2608
9/4/2017,117,6.1889,6.9608,7.3989,2.5803,3.9498,4.8399,10.5903,24.5297,18.8407,12.1404,8.1894,2.4399,1.0203,0.7498,0.4699,0.6103,4.3598,3.6694,9.4008,11.9298,3.6494,2.6103,5.9398,0.8299
9/5/2017,117,0.5903,1.8003,0.6103,0.5594,1.5298,0.8408,2.7798,15.3498,8.7594,9.6908,11.8296,7.5099,12.5603,18.5998,11.3094,19.4509,21.6999,4.989,6.7108,10.7498,5.6594,11.3903,5.9598,0.4199
9/6/2017,117,0.6103,1.0003,0.5789,1.9408,6.1298,1.2394,7.671,27.6299,20.0094,21.4203,24.0303,7.2494,7.1703,15.2898,16.8599,22.0896,6.5212,7.2594,13.2096,16.9809,14.5602,12.9198,7.5398,1.6399
9/7/2017,117,1.3903,0.5889,0.6003,0.9608,6.8098,5.1994,7.6195,15.0311,6.8503,7.6394,16.2701,5.6394,11.3603,16.1703,11.8594,23.0405,27.0702,7.0194,6.69,4.4599,0.4594,8.1703,14.7198,1.6299
9/8/2017,117,0.9703,0.5803,1.3803,1.3694,1.1298,0.4708,5.2496,21.0204,12.5597,18.4696,11.5,2.8499,5.8803,10.8,10.9094,10.99,8.2999,3.2812,4.5889,7.5598,5.2408,2.2003,3.1298,5.6599
9/9/2017,117,6.5803,4.9989,4.6603,3.9994,0.7412,0.5394,7.6403,8.8698,5.8699,6.8703,8.4898,4.8494,2.5801,10.0497,1.5706,1.8992,1.1512,0.4699,1.2589,0.4512,0.4494,1.7794,1.9398,0.4508
9/10/2017,117,1.4103,0.9889,0.5908,1.3903,0.7398,5.2594,11.3003,15.9803,10.2094,9.9003,15.5398,11.0299,13.1003,13.2198,5.0499,2.5803,0.7698,3.2494,8.1808,18.4998,5.7994,0.5808,9.9498,9.6694
9/11/2017,117,8.9903,7.3803,6.9694,6.2003,9.1198,1.2594,1.8403,10.9198,8.0499,9.4903,13.1098,6.4499,7.0103,14.4798,9.5704,19.2392,8.2905,2.8105,2.0397,9.1298,10.8494,14.5708,19.9598,8.8394
9/12/2017,117,1.4203,0.6103,0.5994,1.0103,0.7598,1.2608,6.7894,20.5398,13.1908,16.9789,7.1498,2.6399,10.3603,11.6998,6.2799,10.1201,11.3405,5.01,11.4292,21.8711,8.4599,7.4303,7.9598,1.6694
9/13/2017,117,0.6203,0.5994,0.6203,1.8003,0.7598,2.0594,11.5308,25.4098,16.3494,17.2503,17.1498,7.8199,7.1803,10.9998,10.1599,12.4003,7.49,6.5093,0.6103,3.1798,5.2399,5.4103,5.0098,5.0508
9/14/2017,117,5.0694,0.6303,0.6103,0.6289,2.7498,1.2808,11.9294,19.8798,13.2308,15.7403,18.7298,10.8699,13.9803,18.7798,17.4692,24.5307,21.7602,5.5195,5.0303,21.1498,12.8694,11.0108,8.7598,0.8694
9/15/2017,117,1.4003,1.0103,0.6194,2.2003,0.7698,0.8394,3.1703,15.2498,12.1999,18.4203,13.3198,2.4499,14.1203,23.5006,13.1591,14.0201,11.4706,10.5096,9.9402,10.0902,9.2494,11.0094,1.9512,3.2694
9/16/2017,117,3.9003,1.4203,0.6089,1.8008,0.7398,0.4794,1.4103,1.6898,4.9999,4.0803,11.5398,9.6794,20.251,13.3089,7.7912,9.1695,5.3795,8.4603,9.8794,8.0305,4.2597,2.6008,3.9598,1.2594
9/17/2017,117,0.6103,8.9303,5.9894,1.8003,2.5698,4.8794,2.9903,3.9798,0.4299,0.6003,9.5598,14.5499,14.5803,9.6798,9.1608,20.3394,23.4298,9.9608,1.2389,9.5598,8.0513,15.5389,17.3098,7.7508
9/18/2017,117,5.5203,2.2694,0.6103,1.4103,1.1398,0.4694,8.24,11.6298,6.4208,13.1894,12.7698,2.9008,13.2294,17.0598,11.2505,23.4801,23.2701,16.05,16.9989,16.2898,13.1508,24.4794,35.0198,15.4308
9/19/2017,117,9.6603,0.9794,0.6303,1.8003,0.7498,0.4694,7.1794,27.4812,8.9294,10.1503,6.7398,4.0099,5.8103,8.7698,2.0299,8.0002,19.4194,5.6,11.0507,12.5293,14.0794,18.8503,14.7498,6.8599
9/20/2017,117,6.6203,2.2203,0.6203,0.5994,2.3598,0.8608,1.9296,8.3598,10.5394,10.1508,13.1798,8.8394,10.9811,15.54,14.9,14.7589,19.2603,7.16,0.7395,1.1712,9.2394,14.8794,17.7398,9.9208
9/21/2017,117,12.8203,7.6189,1.2508,2.2303,1.1398,0.4794,2.8603,14.9798,14.3099,16.1403,18.9398,15.7494,16.3508,22.2398,15.0194,19.1203,28.6398,16.7598,9.3702,1.5906,0.4599,7.0103,9.5598,6.4599
9/22/2017,117,3.4089,1.4203,1.0203,0.6203,0.7498,1.7599,7.1903,22.2298,13.0899,14.5003,18.2298,6.4299,7.7503,11.0297,9.7295,12.4999,8.7598,1.2508,5.4697,8.6296,11.4099,14.7803,13.3498,5.8708
9/23/2017,117,6.7689,0.6403,0.6108,1.8189,5.5798,2.0608,4.6303,8.7498,2.4499,3.0003,10.3598,3.6594,1.8494,9.1212,5.0094,11.0203,23.1494,11.7198,10.2098,21.4212,8.0599,16.6089,7.9698,2.8708
9/24/2017,117,0.6303,1.7994,1.8803,2.1303,0.7998,0.4894,1.0203,0.7898,0.4199,0.6003,1.9598,1.2599,7.3903,15.4091,11.211,4.279,8.8499,5.2708,6.6989,9.6312,6.8299,8.6189,8.3712,4.4594
