Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9/1/2017,204,3.26,2.0401,2.84,2.4404,3.86,8.6336,32.8433,109.8904,104.0052,113.6253,60.6797,19.0205,19.4601,21.6802,11.54,11.2801,4.2004,4.35,5.3801,4.6904,2.25,2.04,3.4605,1.8301
9/2/2017,204,4.0801,2.9404,2.0601,2.85,3.4605,1.86,3.6305,3.0804,1.84,2.0401,5.4621,1.43,2.8301,4.2417,1.8304,2.8501,3.0601,4.172,4.9701,5.99,1.8404,3.6517,3.0602,2.24
9/3/2017,204,2.0505,4.4616,2.0704,3.4,8.0516,4.3801,6.2005,4.2001,4.0104,5.3804,7.7001,4.45,7.5317,7.1405,1.89,2.0501,6.502,3.9401,5.6101,5.3021,1.9301,2.86,3.0704,3.4416
9/4/2017,204,2.0703,2.45,3.2704,4.2715,7.2004,4.36,6.1601,4.6517,1.8404,2.85,5.7709,6.51,8.17,11.3404,7.6716,9.0004,10.7101,7.8701,13.8817,5.6405,3.16,3.04,5.0822,1.8498
9/5/2017,204,2.0697,3.6813,2.8503,2.3803,12.1894,14.703,45.3152,123.9453,166.7577,201.932,160.6421,67.4493,97.4348,101.3537,46.2466,52.4795,33.3873,14.5762,14.2607,8.1797,5.9817,6.2295,6.5102,5.0598
9/6/2017,204,7.0313,4.61,2.85,4.0913,11.6905,18.6833,56.9931,160.2845,161.7469,181.9248,140.8265,32.0549,57.8704,79.3145,28.5354,30.3369,32.8078,12.8053,6.8546,8.4021,9.5798,7.8095,7.7202,5.3614
9/7/2017,204,2.9397,2.11,2.19,4.5316,7.3702,14.6518,47.4635,153.7381,162.9285,187.3743,135.1534,33.9905,49.0827,52.897,42.6717,48.2532,41.0781,10.5314,6.01,4.7613,5.1706,5.3998,7.6797,5.9614
9/8/2017,204,3.2103,2.95,2.1095,3.7219,8.0702,12.2429,47.2184,143.2118,134.413,153.3903,123.4833,44.4797,48.0652,51.3597,21.5049,18.8636,16.5197,4.3298,3.6498,3.46,3.0317,2.49,3.1797,1.9106
9/9/2017,204,4.5816,2.1892,3.3703,2.21,5.2918,1.9093,2.1203,4.6613,1.8498,2.8702,3.4896,3.4604,6.885,11.0865,6.6751,4.071,4.1399,5.9719,6.0997,2.8596,2.6801,3.6706,3.1797,1.93
9/10/2017,204,2.1802,4.601,2.5905,2.9597,7.5813,5.6303,5.4194,7.6704,3.3711,2.4802,4.9701,4.3592,7.9221,6.6394,5.1303,4.7294,5.1121,1.8595,2.4805,5.5815,4.3895,14.247,10.1125,5.19
9/11/2017,204,5.1302,2.0799,4.4698,2.0605,7.5096,12.0935,43.391,166.1644,195.2907,247.0302,204.156,71.4352,69.9145,61.0237,23.2943,22.927,14.9801,5.8824,5.7637,7.2797,3.48,3.26,5.0812,1.8603
9/12/2017,204,2.0694,2.8702,3.6501,3.0902,14.4393,17.4735,50.765,158.4993,161.0339,186.5726,128.3588,50.5196,81.5634,69.9067,32.3111,22.7321,19.2864,6.56,8.6697,11.9912,6.9003,7.8902,8.9012,4.42
